,database,question,verified_output,correct
0,department_management,How many heads of the departments are older than 56 ?,SELECT COUNT(*) FROM head WHERE head.age > '56' ,1
1,department_management,"List the name, born state and age of the heads of departments ordered by age.","SELECT head.name ,born_state ,age FROM head ORDER BY head.age",1
2,department_management,"List the creation year, name and budget of each department.","SELECT department.creation ,name ,budget_in_billions FROM department GROUP BY department.department_id",1
3,department_management,What are the maximum and minimum budget of the departments?,"SELECT MAX(department.Budget_in_Billions) ,MIN(department.Budget_in_Billions) FROM department",1
4,department_management,What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT department.Num_Employees FROM department WHERE department.Ranking  BETWEEN 10 AND 15,0
5,department_management,What are the names of the heads who are born outside the California state?,SELECT head.name FROM head WHERE head.born_state   !=  'California' ,1
6,department_management,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT(T2.Creation) FROM department AS T2 JOIN management AS T1 ON T2.Department_ID = T1.department_ID    JOIN head AS T3 ON T3.head_ID = T1.head_ID   WHERE T3.born_state = 'Alabama' ,1
7,department_management,What are the names of the states where at least 3 heads were born?,SELECT head.name FROM head WHERE head.born_state = '3'  GROUP BY head.name HAVING COUNT(*)>= 3,0
8,department_management,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T2.Num_Employees ,  T2.name FROM department AS T2 JOIN management AS T1 ON T2.Department_ID = T1.department_ID    JOIN head AS T3 ON T3.head_ID = T1.head_ID   WHERE T1.temporary_acting = 'Yes' ",1
9,department_management,How many acting statuses are there?,SELECT COUNT(*) FROM management,0
10,department_management,How many departments are led by heads who are not mentioned?,SELECT COUNT(*) FROM department AS T2 JOIN management AS T1 ON T2.Department_ID = T1.department_ID    JOIN head AS T3 ON T3.head_ID = T1.head_ID  ,0
11,department_management,What are the distinct ages of the heads who are acting?,SELECT DISTINCT(head.age) FROM head,0
12,department_management,"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT COUNT(*) ,head.head_id ,name FROM head",0
13,department_management,Which head's name has the substring 'Ha'? List the id and name.,"SELECT T3.head_id ,  T2.name FROM department AS T2 JOIN management AS T1 ON T2.Department_ID = T1.department_ID    JOIN head AS T3 ON T3.head_ID = T1.head_ID   WHERE T2.Name  = 'Ha' ",0
14,farm,How many farms are there?,SELECT COUNT(*) FROM farm,1
15,farm,Count the number of farms.,SELECT COUNT(*) FROM farm,1
16,farm,List the total number of horses on farms in ascending order.,SELECT farm.Total_Horses FROM farm ORDER BY  farm.Total_Horses ASC,1
