,database,question,verified_output,correct
0,concert_singer,How many singers do we have?,SELECT COUNT(*) FROM singer,1
1,concert_singer,What is the total number of singers?,SELECT COUNT(*) FROM singer,1
2,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,country ,age ,MAX(singer.Age) FROM singer ORDER BY MIN(singer.Age)",0
3,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT T2.name ,  T3.country ,  age FROM stadium AS T2 JOIN singer_in_concert AS T1 ON T2.Stadium_ID = T1.concert_ID    JOIN singer AS T3 ON T3.Singer_ID = T1.Singer_ID   ORDER BY T3.Age",0
4,concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT AVG(singer.Age) ,MIN(singer.Age) ,MAX(singer.Age) FROM singer",0
5,concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT T2.name ,  T3.song_release_year FROM stadium AS T2 JOIN singer_in_concert AS T1 ON T2.Stadium_ID = T1.concert_ID    JOIN singer AS T3 ON T3.Singer_ID = T1.Singer_ID   ORDER BY T3.Age ASC LIMIT 1",0
6,concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT singer.name ,song_release_year ,song_name FROM singer ORDER BY singer.Age ASC LIMIT 1",0
7,concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT(singer.Country) FROM singer WHERE singer.Age > 20,1
8,concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT(singer.Country) FROM singer,1
9,concert_singer,Show all countries and the number of singers in each country.,"SELECT COUNT(*) ,singer.country FROM singer GROUP BY singer.country",1
10,concert_singer,How many singers are from each country?,"SELECT singer.Country ,COUNT(*) FROM singer GROUP BY singer.country",1
11,concert_singer,List all song names by singers above the average age.,"SELECT song_name ,AVG(singer.Age) FROM singer",0
12,concert_singer,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE  singer.Age >  (SELECT AVG(singer.Age) FROM singer),1
13,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT stadium.location ,name FROM stadium WHERE stadium.Capacity  BETWEEN 5000 AND 10000",1
14,concert_singer,What is the maximum capacity and the average of all stadiums ?,"SELECT average ,MAX(stadium.Capacity) FROM stadium",1
15,concert_singer,What is the average and maximum capacities for all stadiums ?,"SELECT AVG(stadium.Capacity) ,MAX(stadium.Capacity) FROM stadium",1
16,concert_singer,What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,capacity FROM stadium ORDER BY stadium.Average DESC LIMIT 1",1
17,concert_singer,What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,capacity FROM stadium ORDER BY stadium.Average DESC LIMIT 1",1
18,concert_singer,How many concerts are there in year 2014 or 2015?,SELECT COUNT(*) FROM concert WHERE concert.Year  = '2014'  OR concert.Year  = '2015' ,1
19,concert_singer,How many concerts occurred in 2014 or 2015?,SELECT COUNT(*) FROM concert WHERE concert.Year  = '2014'  OR concert.Year  = '2015' ,1
20,concert_singer,Show the stadium name and the number of concerts in each stadium.,SELECT COUNT(*) FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID GROUP BY T2.stadium_id,0
21,concert_singer,"For each stadium, how many concerts play there?",SELECT COUNT(*) FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID GROUP BY T2.stadium_id,0
22,concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.capacity ,  MAX(T1.Year) FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID WHERE T1.Year = '2014'  GROUP BY T2.capacity ORDER BY COUNT(*) DESC LIMIT 1",0
23,concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"SELECT T2.name ,  capacity ,  MAX(T1.Year) FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID WHERE T1.Year > 2013 GROUP BY T2.capacity ORDER BY COUNT(*) DESC LIMIT 1",0
24,concert_singer,Which year has most number of concerts?,SELECT concert.year FROM concert GROUP BY concert.year ORDER BY COUNT(*) DESC LIMIT 1,1
25,concert_singer,What is the year that had the most concerts?,SELECT year FROM concert GROUP BY concert.year ORDER BY COUNT(*) DESC LIMIT 1,1
26,concert_singer,Show the stadium names without any concert.,SELECT concert_name FROM concert,0
27,concert_singer,What are the names of the stadiums without any concerts?,SELECT T2.name FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID,0
28,concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,"SELECT COUNT(*) ,  T3.name ,  T1.theme FROM singer AS T3 JOIN singer_in_concert AS T2 ON T3.Singer_ID = T2.Singer_ID    JOIN concert AS T1 ON T1.concert_ID = T2.concert_ID   GROUP BY T1.concert_id",0
29,concert_singer,"What are the names , themes , and number of singers for every concert ?","SELECT COUNT(*) ,  T3.name ,  T1.theme FROM singer AS T3 JOIN singer_in_concert AS T2 ON T3.Singer_ID = T2.Singer_ID    JOIN concert AS T1 ON T1.concert_ID = T2.concert_ID  ",0
30,concert_singer,List singer names and number of concerts for each singer.,"SELECT COUNT(*) ,  T1.concert_name FROM singer AS T3 JOIN singer_in_concert AS T2 ON T3.Singer_ID = T2.Singer_ID    JOIN concert AS T1 ON T1.concert_ID = T2.concert_ID   GROUP BY T3.singer_id",0
