,database,question,verified_output,correct
0,poker_player,How many poker players are there?,SELECT COUNT(*) FROM poker_player,1
1,poker_player,Count the number of poker players.,SELECT COUNT(*) FROM poker_player,1
2,poker_player,List the earnings of poker players in descending order.,SELECT poker_player.earnings FROM poker_player ORDER BY poker_player.Earnings DESC,1
3,poker_player,"What are the earnings of poker players, ordered descending by value?",SELECT poker_player.earnings FROM poker_player ORDER BY poker_player.Earnings DESC,1
4,poker_player,List the final tables made and the best finishes of poker players.,"SELECT poker_player.final_table_made ,best_finish FROM poker_player",1
5,poker_player,What are the final tables made and best finishes for all poker players?,SELECT final_table_made FROM poker_player,0
6,poker_player,What is the average earnings of poker players?,SELECT AVG(poker_player.Earnings) FROM poker_player,1
7,poker_player,Return the average earnings across all poker players.,SELECT AVG(poker_player.Earnings) FROM poker_player,1
8,poker_player,What is the money rank of the poker player with the highest earnings?,SELECT poker_player.money_rank FROM poker_player ORDER BY poker_player.Earnings DESC LIMIT 1,1
9,poker_player,Return the money rank of the player with the greatest earnings.,SELECT poker_player.money_rank FROM poker_player ORDER BY poker_player.Earnings DESC LIMIT 1,1
10,poker_player,What is the maximum number of final tables made among poker players with earnings less than 200000?,SELECT MAX(poker_player.Final_Table_Made) FROM poker_player WHERE poker_player.Earnings < '200000' ,1
11,poker_player,Return the maximum final tables made across all poker players who have earnings below 200000.,SELECT MAX(poker_player.Final_Table_Made) FROM poker_player WHERE poker_player.Earnings < '200000' ,1
12,poker_player,What are the names of poker players?,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID,1
13,poker_player,Return the names of all the poker players.,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID,1
14,poker_player,What are the names of poker players whose earnings is higher than 300000?,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Earnings > '300000' ,1
15,poker_player,Give the names of poker players who have earnings above 300000.,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Earnings > '300000' ,1
16,poker_player,List the names of poker players ordered by the final tables made in ascending order.,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T2.Final_Table_Made ASC,1
17,poker_player,What is the birth date of the poker player with the lowest earnings?,SELECT T1.birth_date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T2.Earnings ASC LIMIT 1,1
18,poker_player,Return the birth date of the poker player with the lowest earnings.,SELECT T1.birth_date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T2.Earnings ASC LIMIT 1,1
19,poker_player,What is the money rank of the tallest poker player?,SELECT poker_player.money_rank FROM poker_player,0
20,poker_player,Return the money rank of the poker player with the greatest height.,SELECT T2.money_rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Height DESC LIMIT 1,1
21,poker_player,What is the average earnings of poker players with height higher than 200?,SELECT AVG(T2.Earnings) FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Height > '200' ,1
22,poker_player,Give average earnings of poker players who are taller than 200.,SELECT AVG(poker_player.Earnings) FROM poker_player,0
23,poker_player,What are the names of poker players in descending order of earnings?,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T2.Earnings DESC,1
24,poker_player,Return the names of poker players sorted by their earnings descending.,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T2.Earnings DESC,1
25,poker_player,What are different nationalities of people and the corresponding number of people from each nation?,"SELECT COUNT(*) ,people.nationality FROM people GROUP BY people.nationality",1
26,poker_player,How many people are there of each nationality?,"SELECT people.nationality ,COUNT(*) FROM people GROUP BY people.nationality",1
27,poker_player,What is the most common nationality of people?,SELECT people.nationality FROM people GROUP BY people.nationality ORDER BY COUNT(*) DESC LIMIT 1,1
28,poker_player,Give the nationality that is most common across all people.,SELECT nationality FROM people GROUP BY people.nationality ORDER BY COUNT(*) DESC LIMIT 1,1
29,poker_player,What are the nationalities that are shared by at least two people?,SELECT nationality FROM people GROUP BY people.nationality HAVING COUNT(*) >= 2,1
30,poker_player,Return the nationalities for which there are two or more people.,SELECT nationality FROM people,0
31,poker_player,List the names and birth dates of people in ascending alphabetical order of name.,"SELECT people.name ,birth_date FROM people ORDER BY people.Name ASC",1
32,poker_player,"What are the names and birth dates of people, ordered by their names in alphabetical order?","SELECT people.name ,birth_date FROM people ORDER BY people.Name",1
33,poker_player,"Show names of people whose nationality is not ""Russia"".",SELECT people.name FROM people WHERE people.Nationality != 'Russia' ,1
34,poker_player,What are the names of people who are not from Russia?,SELECT people.name FROM people WHERE people.Nationality != 'Russia',1
35,poker_player,List the names of people that are not poker players.,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID,0
36,poker_player,What are the names of people who do not play poker?,SELECT T1.name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID,0
37,poker_player,How many distinct nationalities are there?,SELECT COUNT(DISTINCT(people.Nationality)) FROM people,1
38,poker_player,Count the number of different nationalities.,SELECT COUNT(DISTINCT(people.Nationality)) FROM people,1
39,voter_1,How many states are there?,SELECT COUNT(*) FROM AREA_CODE_STATE,1
40,voter_1,"List the contestant numbers and names, ordered by contestant name descending.","SELECT contestant_number ,contestant_name FROM CONTESTANTS ORDER BY CONTESTANTS.contestant_name DESC",1
41,voter_1,"List the vote ids, phone numbers and states of all votes.","SELECT VOTES.vote_id ,phone_number ,state FROM VOTES",1
42,voter_1,What are the names of the contestants whose names are not 'Jessie Alloway',SELECT CONTESTANTS.contestant_name FROM CONTESTANTS WHERE CONTESTANTS.contestant_name != 'Jessie Alloway' ,1
43,voter_1,What are the distinct states and create time of all votes?,"SELECT DISTINCT(VOTES.state) ,created FROM VOTES",1
44,voter_1,What are the contestant numbers and names of the contestants who had at least two votes?,"SELECT T1.contestant_number ,  contestant_name FROM CONTESTANTS AS T1 JOIN VOTES AS T2 ON T1.contestant_number = T2.contestant_number GROUP BY T1.contestant_number HAVING COUNT(*) >= 2",1
45,voter_1,"Of all the contestants who got voted, what is the contestant number and name of the contestant who got least votes?","SELECT COUNT(*) ,  T1.contestant_name FROM CONTESTANTS AS T1 JOIN VOTES AS T2 ON T1.contestant_number = T2.contestant_number GROUP BY T1.contestant_name ORDER BY COUNT(*) ASC LIMIT 1",0
46,voter_1,What are the number of votes from state 'NY' or 'CA'?,SELECT COUNT(*) FROM VOTES WHERE VOTES.state = 'NY'  OR VOTES.state = 'CA' ,1
47,voter_1,How many contestants did not get voted?,SELECT COUNT(*) FROM CONTESTANTS,0
48,voter_1,Return the names of the contestants whose names contain the substring 'Al' .,SELECT CONTESTANTS.contestant_name FROM CONTESTANTS WHERE CONTESTANTS.contestant_name = 'Al' ,0
49,orchestra,How many conductors are there?,SELECT COUNT(*) FROM conductor,1
50,orchestra,Count the number of conductors.,SELECT COUNT(*) FROM conductor,1
51,orchestra,List the names of conductors in ascending order of age.,SELECT conductor.name FROM conductor ORDER BY conductor.Age ASC,1
52,orchestra,"What are the names of conductors, ordered by age?",SELECT conductor.name FROM conductor ORDER BY conductor.Age,1
53,orchestra,"What are the names of conductors whose nationalities are not ""USA""?",SELECT conductor.name FROM conductor WHERE conductor.Nationality != 'USA' ,1
54,orchestra,"Return the names of conductors that do not have the nationality ""USA"".",SELECT conductor.name FROM conductor WHERE conductor.Nationality != 'USA' ,1
55,orchestra,What are the record companies of orchestras in descending order of years in which they were founded?,SELECT orchestra.record_company FROM orchestra ORDER BY orchestra.Year_of_Founded DESC,1
56,orchestra,"Return the record companies of orchestras, sorted descending by the years in which they were founded.",SELECT orchestra.record_company FROM orchestra ORDER BY orchestra.Year_of_Founded DESC,1
57,orchestra,What is the average attendance of shows?,SELECT AVG(show.Attendance) FROM show,1
58,orchestra,Return the average attendance across all shows.,SELECT AVG(show.Attendance) FROM show,1
59,orchestra,"What are the maximum and minimum share of performances whose type is not ""Live final"".","SELECT MAX(performance.Share) ,MIN(performance.Share) FROM performance WHERE performance.Type != 'Live final' ",1
60,orchestra,"Return the maximum and minimum shares for performances that do not have the type ""Live final"".","SELECT MAX(performance.Share) ,MIN(performance.Share) FROM performance WHERE performance.Type  != 'Live final' ",1
61,orchestra,How many different nationalities do conductors have?,SELECT COUNT(DISTINCT(conductor.Nationality)) FROM conductor,1
62,orchestra,Count the number of different nationalities of conductors.,SELECT COUNT(DISTINCT(conductor.Nationality)) FROM conductor,1
