SQL,database,question
SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  >  40) EXCEPT SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  <  30),network_2,"What are the names of the people who are older 40 but no friends under age 30?
"
"SELECT t1.name FROM category AS t2 JOIN business AS t1 ON t2.business_id  =  t1.business_id WHERE t1.rating  >  3.5 AND t2.category_name  =  ""restaurant"";",yelp,"List all the restaurant rated more than 3.5
"
"SELECT traverse FROM river WHERE river_name  =  ""ohio"";",geo,"which states do ohio river flow through
"
"SELECT T1.driverid ,  T1.surname FROM drivers AS T1 JOIN results AS T2 ON T1.driverid = T2.driverid JOIN races AS T3 ON T2.raceid = T3.raceid GROUP BY T1.driverid ORDER BY count(*) DESC LIMIT 1",formula_1,"What are the ids and last names of all drivers who participated in the most races?
"
SELECT T2.star_rating_description FROM HOTELS AS T1 JOIN Ref_Hotel_Star_Ratings AS T2 ON T1.star_rating_code  =  T2.star_rating_code WHERE T1.price_range  >  10000,cre_Theme_park,"Give me the star rating descriptions of the hotels that cost more than 10000.
"
SELECT name FROM Person ORDER BY age DESC,network_2,"What are the names of everybody sorted by age in descending order?
"
"SELECT T1.firstname ,  T1.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""MARROTTE"" AND T2.lastname  =  ""KIRK""",student_1,"Find all students taught by MARROTTE KIRK. Output first and last names of students.
"
"SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId WHERE T1.Title  =  ""Balls to the Wall""",chinook_1,"Find the name of the artist who made the album ""Balls to the Wall"".
"
"SELECT f_id FROM files WHERE formats  =  ""mp4"" UNION SELECT f_id FROM song WHERE resolution  >  720",music_1,"What are the ids of all songs that are available on mp4 or have a higher resolution than 720?
"
"SELECT DISTINCT t2.datasetid FROM paper AS t3 JOIN paperdataset AS t2 ON t3.paperid  =  t2.paperid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t1.authorname  =  ""jitendra malik"";",scholar,"what datasets are used in papers by jitendra malik
"
"SELECT T1.staff_name ,  T1.staff_id FROM Staff AS T1 JOIN Fault_Log AS T2 ON T1.staff_id  =  T2.recorded_by_staff_id EXCEPT SELECT T3.staff_name ,  T3.staff_id FROM Staff AS T3 JOIN Engineer_Visits AS T4 ON T3.staff_id  =  T4.contact_staff_id",assets_maintenance,"What is the name and id of the staff who recorded the fault log but has not contacted any visiting engineers?
"
"SELECT T1.statement_id ,  T2.statement_details FROM Accounts AS T1 JOIN Statements AS T2 ON T1.statement_id  =  T2.statement_id GROUP BY T1.statement_id ORDER BY count(*) DESC LIMIT 1",cre_Docs_and_Epenses,"Show the statement id and the statement detail for the statement with most number of accounts.
"
SELECT count(*) FROM gymnast,gymnast,"How many gymnasts are there?
"
SELECT T1.customer_name FROM customers AS T1 JOIN customer_orders AS T2 ON T1.customer_id  =  T2.customer_id WHERE shipping_method_code  =  'FedEx' AND order_status_code  =  'Paid',customers_campaigns_ecommerce,"Show the names of customers having an order with shipping method FedEx and order status Paid.
"
SELECT sum(T1.salary) FROM salary AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id WHERE T2.name_first  =  'Len' AND T2.name_last = 'Barker' AND T1.year BETWEEN 1985 AND 1990;,baseball_1,"How much did the the player with first name Len and last name Barker earn between 1985 to 1990 in total?
"
SELECT document_type_code FROM documents GROUP BY document_type_code HAVING count(*)  >  4,document_management,"Find the types of documents with more than 4 documents.
"
"SELECT major ,  avg(age) ,  min(age) ,  max(age) FROM Student GROUP BY major",game_1,"Show the average, minimum, and maximum age for different majors.
"
"SELECT T2.course_name FROM Course_Authors_and_Tutors AS T1 JOIN Courses AS T2 ON T1.author_id  =  T2.author_id WHERE T1.personal_name  =  ""Julio""",e_learning,"Find the names of courses taught by the tutor who has personal name ""Julio"".
"
SELECT name FROM airports WHERE elevation BETWEEN -50 AND 50,flight_4,"Find the name of airports whose altitude is between -50 and 50.
"
"SELECT preferred_foot ,  count(*) FROM Player_Attributes WHERE overall_rating  >  80 GROUP BY preferred_foot",soccer_1,"Of all players with an overall rating greater than 80, how many are right-footed and left-footed?
"
"SELECT T2.customer_name ,  T2.payment_method FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.outcome_code  =  'Order' INTERSECT SELECT T2.customer_name ,  T2.payment_method FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.outcome_code  =  'No Response'",customers_campaigns_ecommerce,"What are the name and payment method of customers who have both mailshots in 'Order' outcome and mailshots in 'No Response' outcome.
"
SELECT count(*) FROM perpetrator,perpetrator,"How many perpetrators are there?
"
SELECT T2.School_name FROM endowment AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T1.amount  >  8.5 GROUP BY T1.school_id HAVING count(*)  >  1,school_finance,"Find the names of schools that have more than one donator with donation amount above 8.5.
"
SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );,geo,"what state has the largest population density
"
SELECT T1.document_id FROM Documents AS T1 JOIN Documents_with_expenses AS T2 ON T1.document_id  =  T2.document_id WHERE T1.document_name LIKE '%s%',cre_Docs_and_Epenses,"Give the ids of documents that have expenses and contain the letter s in their names.
"
"SELECT DISTINCT t2.datasetid FROM paper AS t3 JOIN paperdataset AS t2 ON t3.paperid  =  t2.paperid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t1.authorname  =  ""jitendra malik"";",scholar,"What datasets have jitendra malik used
"
"SELECT T1.customer_id ,  T2.customer_first_name ,  T2.customer_last_name FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >=  2",customers_card_transactions,"Show id, first and last names for all customers with at least two cards.
"
SELECT POSITION FROM match_season GROUP BY POSITION ORDER BY count(*) DESC LIMIT 1,match_season,"Show the most common position of players in match seasons.
"
"SELECT T1.name ,  T1.city ,  T2.dst_apid FROM airports AS T1 JOIN routes AS T2 ON T1.apid  =  T2.dst_apid GROUP BY T2.dst_apid ORDER BY count(*) DESC LIMIT 1",flight_4,"Find the name and city of the airport which is the destination of the most number of routes.
"
"SELECT count(*) FROM department_stores AS T1 JOIN department_store_chain AS T2 ON T1.dept_store_chain_id  =  T2.dept_store_chain_id WHERE T2.dept_store_chain_name  =  ""South""",department_store,"How many department stores does the store chain South have?
"
