Dev question ;Dev Gold SQL;Dev SQL;Train Question;Train Gold SQL;Train SQL;;
What are the names of poker players, ordered ascending by the number of final tables they have made?;SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID ORDER BY COUNT(.) ASC ASC';SELECT T1.Name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Final_Table_Made;In which year were most departments established?;Select age from department as T1 join management as T3 on T1.department_id = T3.departemnt_id Join head AS T2 on T2.head_id = T3.head_id Order BY Count(*) Desc Limit 1;SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1;;
What is last date created of votes from the state 'CA'?;""" WHERE VOTES.state = 'CA' """;SELECT max(created) FROM votes WHERE state  =  'CA';List the most common type of Status across cities.; GROUP BY city.status ORDER BY COUNT(*) DESC LIMIT 1';SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1;;
What is the area code in which the most voters voted?;Erro;SELECT T1.area_code FROM area_code_state AS T1 JOIN votes AS T2 ON T1.state  =  T2.state GROUP BY T1.area_code ORDER BY count(*) DESC LIMIT 1;Show different publishers together with the number of publications they have.;SELECT COUNT(*) ,DISTINCT(publication.Publisher) FROM publication';SELECT Publisher ,  COUNT(*) FROM publication GROUP BY Publisher;;
What are the names of conductors, sorted descending by the number of years they have worked?;SELECT conductor.name FROM conductor ORDER BY COUNT(.) ASC DESC';SELECT Name FROM conductor ORDER BY Year_of_Work DESC;How many actors have appeared in each musical?;SELECT COUNT(*) FROM musical WHERE  Actor_ID IN (SELECT Actor_ID  FROM musical) GROUP BY T2.musical_id';SELECT T2.Name ,  COUNT(*) FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID;;
Please show the different record companies and the corresponding number of orchestras.;SELECT COUNT(*) ,DISTINCT(orchestra.Record_Company) FROM orchestra';SELECT Record_Company ,  COUNT(*) FROM orchestra GROUP BY Record_Company;Show different nominees and the number of musicals they have been nominated.;SELECT COUNT(*) ,DISTINCT(musical.Nominee) FROM musical';SELECT Nominee ,  COUNT(*) FROM musical GROUP BY Nominee;;
How many orchestras does each record company manage?;SELECT COUNT(*) ,orchestra FROM orchestra GROUP BY orchestra';SELECT Record_Company ,  COUNT(*) FROM orchestra GROUP BY Record_Company;Who are the nominees who have been nominated more than two times?;SELECT nominee FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID WHERE T1.Duration > two GROUP BY T1.duration HAVING COUNT(*)> 2';SELECT Nominee FROM musical GROUP BY Nominee HAVING COUNT(*)  >  2;;
List the names of orchestras that have no performance.;SELECT conductor.name FROM conductor WHERE  Orchestra_ID NOT IN (SELECT Orchestra_ID  FROM performance)';SELECT Orchestra FROM orchestra WHERE Orchestra_ID NOT IN (SELECT Orchestra_ID FROM performance);For each journal_committee, find the editor name and the journal theme.;SELECT FROM journal AS T2 JOIN journal_committee AS T3 ON T2.Journal_ID = T3.Journal_ID    JOIN editor AS T1 ON T1.Editor_ID = T3.Editor_ID   GROUP BY T2_committee.editor_id';SELECT T2.Name ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID;;
What are the orchestras that do not have any performances?;SELECT T1 FROM show AS T2 JOIN orchestra AS T1 ON T2.Show_ID = T1.Conductor_ID';SELECT Orchestra FROM orchestra WHERE Orchestra_ID NOT IN (SELECT Orchestra_ID FROM performance);What are the names of different tracks, and how many races has each had?;SELECT T2.name FROM track AS T2 JOIN race AS T1 ON T2.Track_ID = T1.Track_ID GROUP BY name';SELECT T2.name ,  count(*) FROM race AS T1 JOIN track AS T2 ON T1.track_id  =  T2.track_id GROUP BY T1.track_id;;
;;;Show the times used by climbers to climb mountains in Country Uganda.;"""SELECT time FROM mountain AS T2 JOIN climber AS T1 ON T2.Mountain_ID = T1.Mountain_ID WHERE T2.Height ' = Country Uganda'""";"SELECT T1.Time FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID  =  T2.Mountain_ID WHERE T2.Country  =  ""Uganda""";;
;;;List the hosts of performances in ascending order of attendance.;SELECT T1.nationality FROM member AS T1 JOIN member_attendance AS T2 ON T1.Member_ID = T2.Member_ID ORDER BY  T1_attendance.T1_attendance ASC';SELECT HOST FROM performance ORDER BY Attendance ASC;;
