;database;question;gold_sql;predicted_SQL;correct;Verification
0;poker_player;How many poker players are there?;SELECT count(*) FROM poker_player;SELECT COUNT(*) FROM poker_player;1;1
1;poker_player;Count the number of poker players.;SELECT count(*) FROM poker_player;SELECT COUNT(*) FROM poker_player;1;1
2;poker_player;List the earnings of poker players in descending order.;SELECT Earnings FROM poker_player ORDER BY Earnings DESC;SELECT poker_player.earnings FROM poker_player ORDER BY poker_player.Earnings DESC;1;1
3;poker_player;What are the earnings of poker players, ordered descending by value?;SELECT Earnings FROM poker_player ORDER BY Earnings DESC;SELECT poker_player.earnings FROM poker_player ORDER BY poker_player.Earnings DESC;1;1
4;poker_player;List the final tables made and the best finishes of poker players.;SELECT Final_Table_Made ,  Best_Finish FROM poker_player;SELECT poker_player.final_table_made ,best_finish FROM poker_player;1;1
5;poker_player;What are the final tables made and best finishes for all poker players?;SELECT Final_Table_Made ,  Best_Finish FROM poker_player;SELECT final_table_made FROM poker_player;0;
6;poker_player;What is the average earnings of poker players?;SELECT avg(Earnings) FROM poker_player;SELECT AVG(poker_player.Earnings) FROM poker_player;1;1
7;poker_player;Return the average earnings across all poker players.;SELECT avg(Earnings) FROM poker_player;SELECT AVG(poker_player.Earnings) FROM poker_player;1;1
8;poker_player;What is the money rank of the poker player with the highest earnings?;SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1;SELECT poker_player.money_rank FROM poker_player ORDER BY poker_player.Earnings DESC LIMIT 1;1;1
9;poker_player;Return the money rank of the player with the greatest earnings.;SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1;SELECT poker_player.money_rank FROM poker_player ORDER BY poker_player.Earnings DESC LIMIT 1;1;1
10;poker_player;What is the maximum number of final tables made among poker players with earnings less than 200000?;SELECT max(Final_Table_Made) FROM poker_player WHERE Earnings  <  200000;SELECT MAX(poker_player.Final_Table_Made) FROM poker_player WHERE poker_player.Earnings < '200000';1;1
11;poker_player;Return the maximum final tables made across all poker players who have earnings below 200000.;SELECT max(Final_Table_Made) FROM poker_player WHERE Earnings  <  200000;SELECT MAX(poker_player.Final_Table_Made) FROM poker_player WHERE poker_player.Earnings < '200000';1;1
12;poker_player;What are the names of poker players?;SELECT T1.Name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID;SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID;1;1
13;poker_player;Return the names of all the poker players.;SELECT T1.Name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID;SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID;1;1
14;poker_player;What are the names of poker players whose earnings is higher than 300000?;SELECT T1.Name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Earnings  >  300000;SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID WHERE T1.Earnings > '300000';1;1
15;poker_player;Give the names of poker players who have earnings above 300000.;SELECT T1.Name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Earnings  >  300000;SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID WHERE T1.Earnings > '300000';1;1
16;poker_player;List the names of poker players ordered by the final tables made in ascending order.;SELECT T1.Name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Final_Table_Made;SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID ORDER BY T1.Final_Table_Made ASC;1;Unnecessary ASC
17;poker_player;What is the birth date of the poker player with the lowest earnings?;SELECT T1.Birth_Date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Earnings ASC LIMIT 1;SELECT T2.birth_date FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID ORDER BY T1.Earnings ASC LIMIT 1;1;1
18;poker_player;Return the birth date of the poker player with the lowest earnings.;SELECT T1.Birth_Date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Earnings ASC LIMIT 1;SELECT T2.birth_date FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID ORDER BY T1.Earnings ASC LIMIT 1;1;1
19;poker_player;What is the money rank of the tallest poker player?;SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Height DESC LIMIT 1;SELECT poker_player.money_rank FROM poker_player;0;
20;poker_player;Return the money rank of the poker player with the greatest height.;SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Height DESC LIMIT 1;SELECT T1.money_rank FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID ORDER BY T2.Height DESC LIMIT 1;1;1
21;poker_player;What is the average earnings of poker players with height higher than 200?;SELECT avg(T2.Earnings) FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Height  >  200;SELECT AVG(T1.Earnings) FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID WHERE T2.Height > '200';1;1
22;poker_player;Give average earnings of poker players who are taller than 200.;SELECT avg(T2.Earnings) FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Height  >  200;SELECT AVG(poker_player.Earnings) FROM poker_player;0;
23;poker_player;What are the names of poker players in descending order of earnings?;SELECT T1.Name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Earnings DESC;SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID ORDER BY T1.Earnings DESC;1;1
24;poker_player;Return the names of poker players sorted by their earnings descending.;SELECT T1.Name FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Earnings DESC;SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID ORDER BY T1.Earnings DESC;1;1
25;poker_player;What are different nationalities of people and the corresponding number of people from each nation?;SELECT Nationality ,  COUNT(*) FROM people GROUP BY Nationality;SELECT COUNT(*) ,people.nationality FROM people GROUP BY people.nationality;1;1
26;poker_player;How many people are there of each nationality?;SELECT Nationality ,  COUNT(*) FROM people GROUP BY Nationality;SELECT people.nationality ,COUNT(*) FROM people GROUP BY people.nationality;1;1
27;poker_player;What is the most common nationality of people?;SELECT Nationality FROM people GROUP BY Nationality ORDER BY COUNT(*) DESC LIMIT 1;SELECT people.nationality FROM people GROUP BY people.nationality ORDER BY COUNT(*) DESC LIMIT 1;1;1
28;poker_player;Give the nationality that is most common across all people.;SELECT Nationality FROM people GROUP BY Nationality ORDER BY COUNT(*) DESC LIMIT 1;SELECT nationality FROM people GROUP BY people.nationality ORDER BY COUNT(*) DESC LIMIT 1;1;1
29;poker_player;What are the nationalities that are shared by at least two people?;SELECT Nationality FROM people GROUP BY Nationality HAVING COUNT(*)  >=  2;SELECT nationality FROM people GROUP BY people.nationality HAVING COUNT(*) >= 2;1;1
30;poker_player;Return the nationalities for which there are two or more people.;SELECT Nationality FROM people GROUP BY Nationality HAVING COUNT(*)  >=  2;SELECT nationality FROM people;0;
31;poker_player;List the names and birth dates of people in ascending alphabetical order of name.;SELECT Name ,  Birth_Date FROM people ORDER BY Name ASC;SELECT people.name ,birth_date FROM people ORDER BY people.Name ASC;1;1
32;poker_player;What are the names and birth dates of people, ordered by their names in alphabetical order?;SELECT Name ,  Birth_Date FROM people ORDER BY Name ASC;SELECT people.name ,birth_date FROM people ORDER BY people.Name;1;Missed ASC
33;poker_player;"Show names of people whose nationality is not ""Russia"".";"SELECT Name FROM people WHERE Nationality != ""Russia""";SELECT people.name FROM people WHERE people.Nationality != 'Russia' ;1;1
34;poker_player;What are the names of people who are not from Russia?;"SELECT Name FROM people WHERE Nationality != ""Russia""";SELECT people.name FROM people WHERE people.Nationality != 'Russia';1;1
